Country,Policy,Type,Comment
Estonia,Smoking,Awareness Campaign,Yes
Finland,Smoking,Awareness Campaign,yes
France,Smoking,Awareness Campaign,Yes
Greece,Smoking,Awareness Campaign,Yes
Hungary,Smoking,Awareness Campaign,Yes
Ireland,Smoking,Awareness Campaign,Yes
Italy,Smoking,Awareness Campaign,Yes
Lithuania,Smoking,Awareness Campaign,Yes
Malta,Smoking,Awareness Campaign,Yes
Netherlands,Smoking,Awareness Campaign,Yes
Poland,Smoking,Awareness Campaign,Yes
Portugal,Smoking,Awareness Campaign,Yes
Romania,Smoking,Awareness Campaign,Yes
Slovakia,Smoking,Awareness Campaign,Yes
Slovenia,Smoking,Awareness Campaign,Yes
Spain,Smoking,Awareness Campaign,Yes
Sweden,Smoking,Awareness Campaign,yes
Belgium,Smoking,Implementation of Educational Programs for Smoking Prevention,Yes
Bulgaria,Smoking,Implementation of Educational Programs for Smoking Prevention,Yes
Denmark,Smoking,Implementation of Educational Programs for Smoking Prevention,Yes
Finland,Smoking,Implementation of Educational Programs for Smoking Prevention,Yes
Hungary,Smoking,Implementation of Educational Programs for Smoking Prevention,Yes
Italy,Smoking,Implementation of Educational Programs for Smoking Prevention,Yes
Lithuania,Smoking,Implementation of Educational Programs for Smoking Prevention,Yes
Malta,Smoking,Implementation of Educational Programs for Smoking Prevention,Yes
Netherlands,Smoking,Implementation of Educational Programs for Smoking Prevention,Yes
Poland,Smoking,Implementation of Educational Programs for Smoking Prevention,Yes
Portugal,Smoking,Implementation of Educational Programs for Smoking Prevention,Yes
Spain,Smoking,Implementation of Educational Programs for Smoking Prevention,Yes
Sweden,Smoking,Implementation of Educational Programs for Smoking Prevention,Yes
Bulgaria,Smoking,School policies to limit use tobacco products within school settings,Yes
Denmark,Smoking,School policies to limit use tobacco products within school settings,Yes
Estonia,Smoking,School policies to limit use tobacco products within school settings,Yes
Hungary,Smoking,School policies to limit use tobacco products within school settings,Yes
Malta,Smoking,School policies to limit use tobacco products within school settings,Yes
Netherlands,Smoking,School policies to limit use tobacco products within school settings,Yes
Poland,Smoking,School policies to limit use tobacco products within school settings,Yes
Slovenia,Smoking,School policies to limit use tobacco products within school settings,Yes
Sweden,Smoking,School policies to limit use tobacco products within school settings,Yes
Bulgaria,Smoking,Align National to EU Legislation ,Yes
Croatia,Smoking,Align National to EU Legislation ,Yes
Denmark,Smoking,Align National to EU Legislation ,Yes
Finland,Smoking,Align National to EU Legislation ,Yes
Greece,Smoking,Align National to EU Legislation ,Yes
Hungary,Smoking,Align National to EU Legislation ,Yes
Italy,Smoking,Align National to EU Legislation ,Yes
Latvia,Smoking,Align National to EU Legislation ,Yes
Malta,Smoking,Align National to EU Legislation ,Yes
Netherlands,Smoking,Align National to EU Legislation ,Yes
Poland,Smoking,Align National to EU Legislation ,Yes
Portugal,Smoking,Align National to EU Legislation ,Yes
Slovenia,Smoking,Align National to EU Legislation ,Yes
Spain,Smoking,Align National to EU Legislation ,Yes
Sweden,Smoking,Align National to EU Legislation ,Yes
Bulgaria,Smoking,Stricter Tax Policies,Yes
Croatia,Smoking,Stricter Tax Policies,Yes
Finland,Smoking,Stricter Tax Policies,Yes
France,Smoking,Stricter Tax Policies,Yes
Greece,Smoking,Stricter Tax Policies,Yes
Hungary,Smoking,Stricter Tax Policies,Yes
Italy,Smoking,Stricter Tax Policies,Yes
Latvia,Smoking,Stricter Tax Policies,Yes
Malta,Smoking,Stricter Tax Policies,Yes
Netherlands,Smoking,Stricter Tax Policies,Yes
Poland,Smoking,Stricter Tax Policies,Yes
Spain,Smoking,Stricter Tax Policies,Yes
Sweden,Smoking,Stricter Tax Policies,Yes
Croatia,Smoking,Restriction on availabilities,Yes
Denmark,Smoking,Restriction on availabilities,Yes
Estonia,Smoking,Restriction on availabilities,Yes
Finland,Smoking,Restriction on availabilities,Yes
France,Smoking,Restriction on availabilities,Yes
Germany,Smoking,Restriction on availabilities,Yes
Greece,Smoking,Restriction on availabilities,Yes
Italy,Smoking,Restriction on availabilities,Yes
Latvia,Smoking,Restriction on availabilities,Yes
Malta,Smoking,Restriction on availabilities,Yes
Netherlands,Smoking,Restriction on availabilities,Yes
Romania,Smoking,Restriction on availabilities,Yes
Slovakia,Smoking,Restriction on availabilities,Yes
Slovenia,Smoking,Restriction on availabilities,Yes
Spain,Smoking,Restriction on availabilities,Yes
Sweden,Smoking,Restriction on availabilities,Yes
Bulgaria,Smoking,Educational Courses for Clinicians,Yes
Croatia,Smoking,Educational Courses for Clinicians,Yes
Cyprus,Smoking,Educational Courses for Clinicians,Yes
Czech Republic,Smoking,Educational Courses for Clinicians,Yes
France,Smoking,Educational Courses for Clinicians,Yes
Lithuania,Smoking,Educational Courses for Clinicians,Yes
Poland,Smoking,Educational Courses for Clinicians,Yes
Portugal,Smoking,Educational Courses for Clinicians,Yes
Spain,Smoking,Educational Courses for Clinicians,Yes
Denmark,Smoking,Smoking Packages Modification,Yes
Estonia,Smoking,Smoking Packages Modification,Yes
Finland,Smoking,Smoking Packages Modification,Yes
France,Smoking,Smoking Packages Modification,Yes
Germany,Smoking,Smoking Packages Modification,Yes
Ireland,Smoking,Smoking Packages Modification,Yes
Italy,Smoking,Smoking Packages Modification,Yes
Latvia,Smoking,Smoking Packages Modification,Yes
Poland,Smoking,Smoking Packages Modification,Yes
Romania,Smoking,Smoking Packages Modification,Yes
Slovenia,Smoking,Smoking Packages Modification,Yes
Spain,Smoking,Smoking Packages Modification,Yes
Sweden,Smoking,Smoking Packages Modification,Yes
Austria,Environmental Factors ,"Alignment with EU Legislation/Interventions for the Reduction of Emissions (e.g. Traffic, Industry, Agriculture)",Yes
France,Environmental Factors ,"Alignment with EU Legislation/Interventions for the Reduction of Emissions (e.g. Traffic, Industry, Agriculture)",Yes
Italy,Environmental Factors ,"Alignment with EU Legislation/Interventions for the Reduction of Emissions (e.g. Traffic, Industry, Agriculture)",Yes
Netherlands,Environmental Factors ,"Alignment with EU Legislation/Interventions for the Reduction of Emissions (e.g. Traffic, Industry, Agriculture)",Yes
Austria,Environmental Factors ," Reduction of Emissions (e.g. Traffic, Industry, Agriculture)",Yes
Italy,Environmental Factors ," Reduction of Emissions (e.g. Traffic, Industry, Agriculture)",Yes
Netherlands,Environmental Factors ," Reduction of Emissions (e.g. Traffic, Industry, Agriculture)",Yes
Austria,Environmental Factors ,Monitoring Compliance with Air Quality Standards,Yes
Italy,Environmental Factors ,Monitoring Compliance with Air Quality Standards,Yes
Malta,Environmental Factors ,Monitoring Compliance with Air Quality Standards,Yes
Austria,Environmental Factors ,Monitoring of  Morbidity and Mortality Attributed to Traffic Emmisions,Yes
Italy,Environmental Factors ,Monitoring of  Morbidity and Mortality Attributed to Traffic Emmisions,Yes
Lithuania,Environmental Factors ,Monitoring of  Morbidity and Mortality Attributed to Traffic Emmisions,Yes
Spain,Environmental Factors ,Monitoring of  Morbidity and Mortality Attributed to Traffic Emmisions,Yes
Belgium,Environmental Factors ,Dedicated Environmental Health Action Plan,Yes
Italy,Environmental Factors ,Dedicated Environmental Health Action Plan,Yes
Netherlands,Environmental Factors ,Dedicated Environmental Health Action Plan,Yes
Slovakia,Environmental Factors ,Dedicated Environmental Health Action Plan,Yes
Spain,Environmental Factors ,Dedicated Environmental Health Action Plan,Yes
Croatia,Environmental Factors ,Awareness Campaign for UV Radiation,Yes
Cyprus,Environmental Factors ,Awareness Campaign for UV Radiation,Yes
Estonia,Environmental Factors ,Awareness Campaign for UV Radiation,Yes
Finland,Environmental Factors ,Awareness Campaign for UV Radiation,Yes
France,Environmental Factors ,Awareness Campaign for UV Radiation,Yes
Hungary,Environmental Factors ,Awareness Campaign for UV Radiation,Yes
Ireland,Environmental Factors ,Awareness Campaign for UV Radiation,Yes
Italy,Environmental Factors ,Awareness Campaign for UV Radiation,Yes
Latvia,Environmental Factors ,Awareness Campaign for UV Radiation,Yes
Lithuania,Environmental Factors ,Awareness Campaign for UV Radiation,Yes
Luxemburg,Environmental Factors ,Awareness Campaign for UV Radiation,Yes
Malta,Environmental Factors ,Awareness Campaign for UV Radiation,Yes
Netherlands,Environmental Factors ,Awareness Campaign for UV Radiation,Yes
Poland,Environmental Factors ,Awareness Campaign for UV Radiation,Yes
Romania,Environmental Factors ,Awareness Campaign for UV Radiation,Yes
Slovenia,Environmental Factors ,Awareness Campaign for UV Radiation,Yes
Spain,Environmental Factors ,Awareness Campaign for UV Radiation,Yes
Sweden,Environmental Factors ,Awareness Campaign for UV Radiation,Yes
Austria,Environmental Factors ,Implementation of Educational programs for Environmental Health,Yes
Croatia,Environmental Factors ,Implementation of Educational programs for Environmental Health,Yes
Cyprus,Environmental Factors ,Implementation of Educational programs for Environmental Health,Yes
Estonia,Environmental Factors ,Implementation of Educational programs for Environmental Health,Yes
France,Environmental Factors ,Implementation of Educational programs for Environmental Health,Yes
Italy,Environmental Factors ,Implementation of Educational programs for Environmental Health,Yes
Latvia,Environmental Factors ,Implementation of Educational programs for Environmental Health,Yes
Lithuania,Environmental Factors ,Implementation of Educational programs for Environmental Health,Yes
Luxemburg,Environmental Factors ,Implementation of Educational programs for Environmental Health,Yes
Malta,Environmental Factors ,Implementation of Educational programs for Environmental Health,Yes
Netherlands,Environmental Factors ,Implementation of Educational programs for Environmental Health,Yes
Romania,Environmental Factors ,Implementation of Educational programs for Environmental Health,Yes
Slovenia,Environmental Factors ,Implementation of Educational programs for Environmental Health,Yes
Spain,Environmental Factors ,Implementation of Educational programs for Environmental Health,Yes
Belgium,Environmental Factors ,Safety Monitoring of Food or/and Water Consumption,Yes
Croatia,Environmental Factors ,Safety Monitoring of Food or/and Water Consumption,Yes
Cyprus,Environmental Factors ,Safety Monitoring of Food or/and Water Consumption,Yes
France,Environmental Factors ,Safety Monitoring of Food or/and Water Consumption,Yes
Italy,Environmental Factors ,Safety Monitoring of Food or/and Water Consumption,Yes
Latvia,Environmental Factors ,Safety Monitoring of Food or/and Water Consumption,Yes
Lithuania,Environmental Factors ,Safety Monitoring of Food or/and Water Consumption,Yes
Malta,Environmental Factors ,Safety Monitoring of Food or/and Water Consumption,Yes
Spain,Environmental Factors ,Safety Monitoring of Food or/and Water Consumption,Yes
Belgium,Environmental Factors ,Provide Sun Exposure Monitoring and/or Preventive Information,Yes
Estonia,Environmental Factors ,Provide Sun Exposure Monitoring and/or Preventive Information,Yes
Finland,Environmental Factors ,Provide Sun Exposure Monitoring and/or Preventive Information,Yes
France,Environmental Factors ,Provide Sun Exposure Monitoring and/or Preventive Information,Yes
Hungary,Environmental Factors ,Provide Sun Exposure Monitoring and/or Preventive Information,Yes
Italy,Environmental Factors ,Provide Sun Exposure Monitoring and/or Preventive Information,Yes
Lithuania,Environmental Factors ,Provide Sun Exposure Monitoring and/or Preventive Information,Yes
Luxemburg,Environmental Factors ,Provide Sun Exposure Monitoring and/or Preventive Information,Yes
Malta,Environmental Factors ,Provide Sun Exposure Monitoring and/or Preventive Information,Yes
Netherlands,Environmental Factors ,Provide Sun Exposure Monitoring and/or Preventive Information,Yes
Romania,Environmental Factors ,Provide Sun Exposure Monitoring and/or Preventive Information,Yes
Slovenia,Environmental Factors ,Provide Sun Exposure Monitoring and/or Preventive Information,Yes
Spain,Environmental Factors ,Provide Sun Exposure Monitoring and/or Preventive Information,Yes
Croatia,Environmental Factors ,"Legal Regulations for tanning beds, UV lamps etc.",Yes
Estonia,Environmental Factors ,"Legal Regulations for tanning beds, UV lamps etc.",Yes
Finland,Environmental Factors ,"Legal Regulations for tanning beds, UV lamps etc.",Yes
Italy,Environmental Factors ,"Legal Regulations for tanning beds, UV lamps etc.",Yes
Netherlands,Environmental Factors ,"Legal Regulations for tanning beds, UV lamps etc.",Yes
Poland,Environmental Factors ,"Legal Regulations for tanning beds, UV lamps etc.",Yes
Sweden,Environmental Factors ,"Legal Regulations for tanning beds, UV lamps etc.",Yes
Belgium,Environmental Factors ,Support Activities for Chemical Assessment,Yes
Estonia,Environmental Factors ,Support Activities for Chemical Assessment,Yes
Finland,Environmental Factors ,Support Activities for Chemical Assessment,Yes
Italy,Environmental Factors ,Support Activities for Chemical Assessment,Yes
Lithuania,Environmental Factors ,Support Activities for Chemical Assessment,Yes
Malta,Environmental Factors ,Support Activities for Chemical Assessment,Yes
Netherlands,Environmental Factors ,Support Activities for Chemical Assessment,Yes
Slovenia,Environmental Factors ,Support Activities for Chemical Assessment,Yes
Spain,Environmental Factors ,Support Activities for Chemical Assessment,Yes
Estonia,Environmental Factors ,Monitoring or/and Regulating Radon Concentration,Yes
Finland,Environmental Factors ,Monitoring or/and Regulating Radon Concentration,Yes
Ireland,Environmental Factors ,Monitoring or/and Regulating Radon Concentration,Yes
Italy,Environmental Factors ,Monitoring or/and Regulating Radon Concentration,Yes
Lithuania,Environmental Factors ,Monitoring or/and Regulating Radon Concentration,Yes
Romania,Environmental Factors ,Monitoring or/and Regulating Radon Concentration,Yes
Slovenia,Environmental Factors ,Monitoring or/and Regulating Radon Concentration,Yes
Spain,Environmental Factors ,Monitoring or/and Regulating Radon Concentration,Yes
Belgium,Environmental Factors ,Alignment with International Standards and/or Best Practices,Yes
Finland,Environmental Factors ,Alignment with International Standards and/or Best Practices,Yes (Electomagnetic Radiation)
France,Environmental Factors ,Alignment with International Standards and/or Best Practices,Yes
Italy,Environmental Factors ,Alignment with International Standards and/or Best Practices,yes
Malta,Environmental Factors ,Alignment with International Standards and/or Best Practices,Yes
Belgium,Environmental Factors ,Monitoring or/and Regulating Asbestos Concentration,Yes
Italy,Environmental Factors ,Monitoring or/and Regulating Asbestos Concentration,Yes
Lithuania,Environmental Factors ,Monitoring or/and Regulating Asbestos Concentration,Yes
Slovenia,Environmental Factors ,Monitoring or/and Regulating Asbestos Concentration,Yes
Austria,Environmental Factors ,Monitoring or/and Regulating Air Quality,Yes
Belgium,Environmental Factors ,Monitoring or/and Regulating Air Quality,Yes
Cyprus,Environmental Factors ,Monitoring or/and Regulating Air Quality,Yes
Italy,Environmental Factors ,Monitoring or/and Regulating Air Quality,Yes
Lithuania,Environmental Factors ,Monitoring or/and Regulating Air Quality,Yes
Malta,Environmental Factors ,Monitoring or/and Regulating Air Quality,Yes
Netherlands,Environmental Factors ,Monitoring or/and Regulating Air Quality,Yes
Spain,Environmental Factors ,Monitoring or/and Regulating Air Quality,Yes
Estonia,Environmental Factors ,Establishment/Update of Environmental Health Information System,Yes
France,Environmental Factors ,Establishment/Update of Environmental Health Information System,Yes
Italy,Environmental Factors ,Establishment/Update of Environmental Health Information System,Yes
Lithuania,Environmental Factors ,Establishment/Update of Environmental Health Information System,Yes
Malta,Environmental Factors ,Establishment/Update of Environmental Health Information System,Yes
Netherlands,Environmental Factors ,Establishment/Update of Environmental Health Information System,Yes
Slovenia,Environmental Factors ,Establishment/Update of Environmental Health Information System,Yes
Croatia,Environmental Factors ,Monitoring Carcinogenic Substances within Occupational Settings,Yes
Czech Republic,Environmental Factors ,Monitoring Carcinogenic Substances within Occupational Settings,Yes
Estonia,Environmental Factors ,Monitoring Carcinogenic Substances within Occupational Settings,Yes
France,Environmental Factors ,Monitoring Carcinogenic Substances within Occupational Settings,Yes
Italy,Environmental Factors ,Monitoring Carcinogenic Substances within Occupational Settings,Yes
Lithuania,Environmental Factors ,Monitoring Carcinogenic Substances within Occupational Settings,Yes
Malta,Environmental Factors ,Monitoring Carcinogenic Substances within Occupational Settings,Yes
Netherlands,Environmental Factors ,Monitoring Carcinogenic Substances within Occupational Settings,Yes
Slovenia,Environmental Factors ,Monitoring Carcinogenic Substances within Occupational Settings,Yes
Spain,Environmental Factors ,Monitoring Carcinogenic Substances within Occupational Settings,Yes
Estonia,Environmental Factors ,Monitoring Carcinogenic Substances within School Settings,Yes
France,Environmental Factors ,Monitoring Carcinogenic Substances within School Settings,Yes
Latvia,Environmental Factors ,Monitoring Carcinogenic Substances within School Settings,Yes
Lithuania,Environmental Factors ,Monitoring Carcinogenic Substances within School Settings,Yes
Malta,Environmental Factors ,Monitoring Carcinogenic Substances within School Settings,Yes
Italy,Environmental Factors ,Environmental Performance Targets for the Construction/Renovation of the Buildings,Yes
Latvia,Environmental Factors ,Environmental Performance Targets for the Construction/Renovation of the Buildings,Yes
Slovenia,Environmental Factors ,Environmental Performance Targets for the Construction/Renovation of the Buildings,Yes
Luxemburg,Environmental Factors ,Improve MRI scans Accessibility,Yes
Netherlands,Environmental Factors ,Regulate Wood Burning,Yes
Finland,Environmental Factors ,Encouragement of Melanoma Screening,Yes
Ireland,Environmental Factors ,Encouragement of Melanoma Screening,Yes
Poland,Environmental Factors ,Encouragement of Melanoma Screening,Yes
Belgium,Environmental Factors ,Raise Awareness of Vector-borne Diseases,Yes
Lithuania,Environmental Factors ,Raise Awareness of Vector-borne Diseases,Yes
Malta,Environmental Factors ,Raise Awareness of Vector-borne Diseases,Yes
Spain,Environmental Factors ,Raise Awareness of Vector-borne Diseases,Yes
Belgium,Environmental Factors ,Encourage Proper Management of Waste,Yes
Italy,Environmental Factors ,Encourage Proper Management of Waste,Yes
Netherlands,Environmental Factors ,Encourage Proper Management of Waste,  
Spain,Environmental Factors ,Encourage Proper Management of Waste,Yes
Austria,Alcohol Consumption,Dedicated Action Plan,Yes
Ireland,Alcohol Consumption,Dedicated Action Plan,Yes
Italy,Alcohol Consumption,Dedicated Action Plan,Yes
Latvia,Alcohol Consumption,Dedicated Action Plan,Yes
Netherlands,Alcohol Consumption,Dedicated Action Plan,Yes
Slovenia,Alcohol Consumption,Dedicated Action Plan,Yes
Spain,Alcohol Consumption,Dedicated Action Plan,Yes (actions within PHC)
Bulgaria,Alcohol Consumption,Awareness Campaign,Yes
Croatia,Alcohol Consumption,Awareness Campaign,Yes
Cyprus,Alcohol Consumption,Awareness Campaign,Yes
Czech Republic,Alcohol Consumption,Awareness Campaign,Yes
Estonia,Alcohol Consumption,Awareness Campaign,Yes
Finland,Alcohol Consumption,Awareness Campaign,Yes
France,Alcohol Consumption,Awareness Campaign,Yes
Greece,Alcohol Consumption,Awareness Campaign,Yes
Hungary,Alcohol Consumption,Awareness Campaign,Yes
Ireland,Alcohol Consumption,Awareness Campaign,Yes
Italy,Alcohol Consumption,Awareness Campaign,Yes
Latvia,Alcohol Consumption,Awareness Campaign,Yes
Lithuania,Alcohol Consumption,Awareness Campaign,Yes
Malta,Alcohol Consumption,Awareness Campaign,Yes
Netherlands,Alcohol Consumption,Awareness Campaign,Yes
Romania,Alcohol Consumption,Awareness Campaign,Yes
Slovakia,Alcohol Consumption,Awareness Campaign,Yes
Slovenia,Alcohol Consumption,Awareness Campaign,Yes
Spain,Alcohol Consumption,Awareness Campaign,Yes
Sweden,Alcohol Consumption,Awareness Campaign,Yes
Bulgaria,Alcohol Consumption,Postitive Attitudes Against Drinking (Initiatives),Yes
Croatia,Alcohol Consumption,Postitive Attitudes Against Drinking (Initiatives),Yes
France,Alcohol Consumption,Postitive Attitudes Against Drinking (Initiatives),yes
Greece,Alcohol Consumption,Postitive Attitudes Against Drinking (Initiatives),Yes
Italy,Alcohol Consumption,Postitive Attitudes Against Drinking (Initiatives),Yes
Latvia,Alcohol Consumption,Postitive Attitudes Against Drinking (Initiatives),Yes
Lithuania,Alcohol Consumption,Postitive Attitudes Against Drinking (Initiatives),Yes
Netherlands,Alcohol Consumption,Postitive Attitudes Against Drinking (Initiatives),Yes
Romania,Alcohol Consumption,Postitive Attitudes Against Drinking (Initiatives),yes
Slovenia,Alcohol Consumption,Postitive Attitudes Against Drinking (Initiatives),yes
Spain,Alcohol Consumption,Postitive Attitudes Against Drinking (Initiatives),Yes
Belgium,Alcohol Consumption,"Special Guidelines for Vulnerable Populations (children, elderly, disabled, marginalized, pregnant etc)  ",Yes
Bulgaria,Alcohol Consumption,"Special Guidelines for Vulnerable Populations (children, elderly, disabled, marginalized, pregnant etc)  ",Yes
Croatia,Alcohol Consumption,"Special Guidelines for Vulnerable Populations (children, elderly, disabled, marginalized, pregnant etc)  ",Yes
Cyprus,Alcohol Consumption,"Special Guidelines for Vulnerable Populations (children, elderly, disabled, marginalized, pregnant etc)  ",Yes
Estonia,Alcohol Consumption,"Special Guidelines for Vulnerable Populations (children, elderly, disabled, marginalized, pregnant etc)  ",Yes
Finland,Alcohol Consumption,"Special Guidelines for Vulnerable Populations (children, elderly, disabled, marginalized, pregnant etc)  ",Yes
France,Alcohol Consumption,"Special Guidelines for Vulnerable Populations (children, elderly, disabled, marginalized, pregnant etc)  ",Yes
Greece,Alcohol Consumption,"Special Guidelines for Vulnerable Populations (children, elderly, disabled, marginalized, pregnant etc)  ",Yes
Hungary,Alcohol Consumption,"Special Guidelines for Vulnerable Populations (children, elderly, disabled, marginalized, pregnant etc)  ",Yes
Latvia,Alcohol Consumption,"Special Guidelines for Vulnerable Populations (children, elderly, disabled, marginalized, pregnant etc)  ",Yes
Malta,Alcohol Consumption,"Special Guidelines for Vulnerable Populations (children, elderly, disabled, marginalized, pregnant etc)  ",Yes
Netherlands,Alcohol Consumption,"Special Guidelines for Vulnerable Populations (children, elderly, disabled, marginalized, pregnant etc)  ",Yes
Slovenia,Alcohol Consumption,"Special Guidelines for Vulnerable Populations (children, elderly, disabled, marginalized, pregnant etc)  ",Yes
Spain,Alcohol Consumption,"Special Guidelines for Vulnerable Populations (children, elderly, disabled, marginalized, pregnant etc)  ",Yes
Belgium,Alcohol Consumption,General Guidelines for Supporting Alcohol Consumption Cessation,Yes
Bulgaria,Alcohol Consumption,General Guidelines for Supporting Alcohol Consumption Cessation,Yes
Croatia,Alcohol Consumption,General Guidelines for Supporting Alcohol Consumption Cessation,Yes
Estonia,Alcohol Consumption,General Guidelines for Supporting Alcohol Consumption Cessation,Yes
France,Alcohol Consumption,General Guidelines for Supporting Alcohol Consumption Cessation,Yes
Netherlands,Alcohol Consumption,General Guidelines for Supporting Alcohol Consumption Cessation,Yes
Slovenia,Alcohol Consumption,General Guidelines for Supporting Alcohol Consumption Cessation,Yes
Spain,Alcohol Consumption,General Guidelines for Supporting Alcohol Consumption Cessation,Yes
Bulgaria,Alcohol Consumption,Actions for Alcohol Abuse Prevention,Yes
Croatia,Alcohol Consumption,Actions for Alcohol Abuse Prevention,Yes
France,Alcohol Consumption,Actions for Alcohol Abuse Prevention,Yes
Latvia,Alcohol Consumption,Actions for Alcohol Abuse Prevention,Yes
Netherlands,Alcohol Consumption,Actions for Alcohol Abuse Prevention,Yes
Slovenia,Alcohol Consumption,Actions for Alcohol Abuse Prevention,Yes
Spain,Alcohol Consumption,Actions for Alcohol Abuse Prevention,Yes
Bulgaria,Alcohol Consumption,Educational Courses for Clinicians,Yes
Cyprus,Alcohol Consumption,Educational Courses for Clinicians,Yes
Finland,Alcohol Consumption,Educational Courses for Clinicians,Yes
Lithuania,Alcohol Consumption,Educational Courses for Clinicians,Yes
Malta,Alcohol Consumption,Educational Courses for Clinicians,Yes
Bulgaria,Alcohol Consumption,Stricter Tax Policies/ Implementation of Regulations reducing Alcohol Availability,Yes
Finland,Alcohol Consumption,Stricter Tax Policies/ Implementation of Regulations reducing Alcohol Availability,Yes
Greece,Alcohol Consumption,Stricter Tax Policies/ Implementation of Regulations reducing Alcohol Availability,yes
Italy,Alcohol Consumption,Stricter Tax Policies/ Implementation of Regulations reducing Alcohol Availability,Yes
Latvia,Alcohol Consumption,Stricter Tax Policies/ Implementation of Regulations reducing Alcohol Availability,Yes
Netherlands,Alcohol Consumption,Stricter Tax Policies/ Implementation of Regulations reducing Alcohol Availability,Yes
Slovakia,Alcohol Consumption,Stricter Tax Policies/ Implementation of Regulations reducing Alcohol Availability,Yes
Austria,Alcohol Consumption,Age-Related Restriction on alcohol consumption,Yes
Belgium,Alcohol Consumption,Age-Related Restriction on alcohol consumption,Yes
Bulgaria,Alcohol Consumption,Age-Related Restriction on alcohol consumption,Yes
Cyprus,Alcohol Consumption,Age-Related Restriction on alcohol consumption,Yes
Estonia,Alcohol Consumption,Age-Related Restriction on alcohol consumption,Yes
Finland,Alcohol Consumption,Age-Related Restriction on alcohol consumption,yes
France,Alcohol Consumption,Age-Related Restriction on alcohol consumption,Yes
Germany,Alcohol Consumption,Age-Related Restriction on alcohol consumption,Yes
Greece,Alcohol Consumption,Age-Related Restriction on alcohol consumption,Yes
Latvia,Alcohol Consumption,Age-Related Restriction on alcohol consumption,Yes
Lithuania,Alcohol Consumption,Age-Related Restriction on alcohol consumption,Yes
Malta,Alcohol Consumption,Age-Related Restriction on alcohol consumption,Yes
Netherlands,Alcohol Consumption,Age-Related Restriction on alcohol consumption,Yes
Portugal,Alcohol Consumption,Age-Related Restriction on alcohol consumption,Yes
Slovakia,Alcohol Consumption,Age-Related Restriction on alcohol consumption,Yes
Sweden,Alcohol Consumption,Age-Related Restriction on alcohol consumption,Yes
Austria,Alcohol Consumption,Age-Related Restrictions on alcohol purchasing,Yes
Belgium,Alcohol Consumption,Age-Related Restrictions on alcohol purchasing,Yes
Bulgaria,Alcohol Consumption,Age-Related Restrictions on alcohol purchasing,Yes
Croatia,Alcohol Consumption,Age-Related Restrictions on alcohol purchasing,Yes
Cyprus,Alcohol Consumption,Age-Related Restrictions on alcohol purchasing,Yes
Czech Republic,Alcohol Consumption,Age-Related Restrictions on alcohol purchasing,Yes
Denmark,Alcohol Consumption,Age-Related Restrictions on alcohol purchasing,Yes
Estonia,Alcohol Consumption,Age-Related Restrictions on alcohol purchasing,Yes
Finland,Alcohol Consumption,Age-Related Restrictions on alcohol purchasing,Yes
France,Alcohol Consumption,Age-Related Restrictions on alcohol purchasing,Yes
Germany,Alcohol Consumption,Age-Related Restrictions on alcohol purchasing,Yes
Greece,Alcohol Consumption,Age-Related Restrictions on alcohol purchasing,Yes
Hungary,Alcohol Consumption,Age-Related Restrictions on alcohol purchasing,Yes
Ireland,Alcohol Consumption,Age-Related Restrictions on alcohol purchasing,Yes
Italy,Alcohol Consumption,Age-Related Restrictions on alcohol purchasing,Yes
Latvia,Alcohol Consumption,Age-Related Restrictions on alcohol purchasing,Yes
Lithuania,Alcohol Consumption,Age-Related Restrictions on alcohol purchasing,Yes
Luxemburg,Alcohol Consumption,Age-Related Restrictions on alcohol purchasing,Yes
Malta,Alcohol Consumption,Age-Related Restrictions on alcohol purchasing,Yes
Netherlands,Alcohol Consumption,Age-Related Restrictions on alcohol purchasing,Yes
Poland,Alcohol Consumption,Age-Related Restrictions on alcohol purchasing,Yes
Portugal,Alcohol Consumption,Age-Related Restrictions on alcohol purchasing,Yes
Romania,Alcohol Consumption,Age-Related Restrictions on alcohol purchasing,Yes
Slovakia,Alcohol Consumption,Age-Related Restrictions on alcohol purchasing,Yes
Slovenia,Alcohol Consumption,Age-Related Restrictions on alcohol purchasing,Yes
Spain,Alcohol Consumption,Age-Related Restrictions on alcohol purchasing,Yes
Sweden,Alcohol Consumption,Age-Related Restrictions on alcohol purchasing,Yes
Austria,Nutrition,Dedicated Action Plan,Yes
Belgium,Nutrition,Dedicated Action Plan,Yes
Finland,Nutrition,Dedicated Action Plan,Yes
Germany,Nutrition,Dedicated Action Plan,Yes
Ireland,Nutrition,Dedicated Action Plan,Yes
Netherlands,Nutrition,Dedicated Action Plan,Yes
Slovakia,Nutrition,Dedicated Action Plan,Yes
Slovenia,Nutrition,Dedicated Action Plan,Yes
Belgium,Nutrition,Awareness Campaign,Yes
Bulgaria,Nutrition,Awareness Campaign,Yes
Croatia,Nutrition,Awareness Campaign,Yes
Cyprus,Nutrition,Awareness Campaign,Yes
Czech Republic,Nutrition,Awareness Campaign,Yes
Estonia,Nutrition,Awareness Campaign,Yes
Finland,Nutrition,Awareness Campaign,Yes (Promoting Nordic Diet)
France,Nutrition,Awareness Campaign,Yes
Germany,Nutrition,Awareness Campaign,Yes
Greece,Nutrition,Awareness Campaign,Yes
Hungary,Nutrition,Awareness Campaign,Yes
